name,wager,wager_count,player_hands
Allice,5,1,"{'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2]}"
WOPR,5,2,"{'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2]}"
Andy,2,3,"{'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5]}"
Hal,2,4,"{'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4]}"
Allice,5,4,"{'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2]}"
WOPR,5,5,"{'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2]}"
Andy,2,6,"{'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5]}"
Hal,2,7,"{'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4]}"
Allice,5,7,"{'Hal': [2, 6, 3, 2], 'Allice': [4, 6, 5, 5], 'WOPR': [5, 3, 5, 4], 'Andy': [2, 1, 3, 2]}"
WOPR,LIAR,LIAR,"{'Andy': [2, 1, 3, 2], 'Hal': [2, 6, 3, 2], 'Allice': [6, 5, 5], 'WOPR': [5, 3, 5, 4]}"
Hal,3,1,"{'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3]}"
Allice,5,1,"{'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1]}"
WOPR,3,2,"{'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1]}"
Andy,5,2,"{'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5]}"
Hal,3,3,"{'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3]}"
Allice,5,3,"{'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1]}"
WOPR,3,4,"{'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1]}"
Andy,5,4,"{'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5]}"
Hal,3,5,"{'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3]}"
Allice,5,5,"{'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1]}"
WOPR,3,6,"{'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1]}"
Andy,5,6,"{'WOPR': [2, 3, 6, 3], 'Andy': [5, 5, 3, 1], 'Hal': [4, 3, 3, 1], 'Allice': [2, 1, 5]}"
Hal,LIAR,LIAR,"{'Allice': [2, 1, 5], 'WOPR': [2, 3, 6, 3], 'Andy': [5, 3, 1], 'Hal': [4, 3, 3, 1]}"
WOPR,2,1,"{'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6]}"
Andy,4,1,"{'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6]}"
Hal,3,2,"{'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2]}"
Allice,6,2,"{'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1]}"
WOPR,2,3,"{'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6]}"
Andy,4,3,"{'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6]}"
Hal,5,3,"{'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2]}"
Allice,6,3,"{'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1]}"
WOPR,2,4,"{'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6]}"
Andy,4,4,"{'WOPR': [2, 6, 3, 2], 'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6]}"
Hal,5,4,"{'Andy': [2, 4, 1], 'Hal': [5, 3, 5, 6], 'Allice': [3, 5, 6], 'WOPR': [2, 6, 3, 2]}"
